Time,soc_R00229,soc_R00230,soc_R00231,soc_R00232,soc_R00233,soc_R00234,soc_R00235,soc_R00236,soc_R00237,soc_R00238,soc_R00239,soc_R00240
2024-06-28 11:30:00,607.9977525254006,552.2809722447582,583.2624034323654,607.9784955852575,607.9784973103979,599.2328604906742,555.5215459592486,586.5328375499341,570.3956116581945,607.9997185880219,606.1048654594119,607.9995516194233
2024-06-28 12:00:00,607.9999509791504,552.6565627506695,606.2156854739058,607.9997185565315,607.9784973104265,599.2328604912216,555.5215459594538,607.7464338900933,570.3956116581945,607.999718585669,606.1048654585296,607.9995516190924
2024-06-28 12:30:00,607.9999509487851,569.981215675776,606.2156854739058,607.9997185564199,607.9784973103162,599.2328604911802,555.5215459594383,607.7464338900875,599.9279583317242,607.9999963349887,606.10486545853,607.9995516189739
2024-06-28 13:00:00,607.9999989339324,569.9812156757163,606.2156854716256,607.9997185555649,607.9997185771364,607.7002211692308,555.5215459594383,607.7464338868197,607.7374561451813,607.9999963349887,608.0,607.9995516185323
2024-06-28 13:30:00,607.9999989035671,604.0778570812664,606.2156854716256,607.9997185554532,607.9997185554532,607.7002211610995,581.3635254590331,607.7464338852457,607.7374561451819,607.9999963349728,607.9999986256148,607.9999942193721
2024-06-28 14:00:00,607.9999999482801,607.9116252063603,607.9690200726333,607.9999963355981,607.9999963310116,607.9958740580275,605.959826555913,607.996538536563,607.9964102595628,607.999996335653,607.9999986385644,607.9999993883811
2024-06-28 14:30:00,607.9999999179148,607.9988290213491,607.999593828253,607.9999999524018,607.9999999524018,607.9999461786878,607.9633137417668,607.9999548487884,607.9999548487884,607.999996335653,607.9999986384477,607.9999993181174
2024-06-28 15:00:00,607.9999998875495,607.9999847462078,607.999994710856,607.999994710856,538.9137363623234,608.0,608.0,608.0,608.0,608.0,538.9137349981953,608.0
2024-06-28 15:30:00,607.9999998571841,607.9999998571841,607.9999998571841,542.7799411621893,587.0539107278826,542.7799465228809,608.0,538.9137364118175,538.9137364117978,608.0,589.7124146688749,538.913736400807
2024-06-28 16:00:00,607.9999998268188,538.9137362635507,538.9137362635311,593.4514136467938,607.7802001539122,593.4514188109238,538.9137363982287,589.7124160170225,589.7124160361448,608.0,595.2259454976994,589.7124159926436
2024-06-28 16:30:00,607.9999997964535,587.0539106258642,587.0539106258982,607.3014895200007,607.9970175021158,607.301489916614,554.7532482847784,606.9595051788629,589.7124160361448,538.9137364111205,608.0,607.9313507408065
2024-06-28 17:00:00,607.9999997660882,587.0539106144772,593.223543421852,607.989710456372,607.9999610997893,607.989710454082,600.6373134622513,607.9838098896154,606.9595052732134,552.106228899106,607.9999999992745,607.999093674936
2024-06-28 17:30:00,607.9999997357229,606.6764424375967,607.2825313868892,607.999865612657,542.7799061383854,607.9998656178622,607.7730752621937,607.999788322304,607.9838098913228,599.8325144926191,542.7799466337738,607.9999881835224
2024-06-28 18:00:00,607.9999997053576,607.9784973112424,607.9893981892627,542.7798071527482,590.8005937027821,542.7798073330824,607.9969168948257,542.7797270305938,542.76316335597,600.8842647205887,584.8315709450221,542.7799343280815
2024-06-28 18:30:00,542.7799463801766,542.7576561304555,542.7689563995976,590.8004977956075,524.9743447297327,590.8004980693407,542.7767505740775,590.8004201652589,564.1039107035602,535.4076206199019,606.4144913323394,590.8006210367608
2024-06-28 19:00:00,475.5060066741247,559.9024793318904,590.7899845113088,524.9742455754408,573.532779379786,524.9742465111003,552.2395888366959,524.9741661377606,602.8743062137108,583.654851463303,541.1365521675402,590.8006210367608
